uid;Shape_Leng;from;to;y_start;x_start;y_end;x_end
2079;137.1707927;'36.345287560017,59.5313126225617';'36.345288144231,59.529784940693';36.34528756;59.53131262;36.34528814;59.52978494
2080;288.8115236;'36.3452862648328,59.534529135221';'36.345287560017,59.5313126225617';36.34528626;59.53452914;36.34528756;59.53131262
2081;92.06973651;'36.3452858342322,59.5355545207303';'36.3452862648328,59.534529135221';36.34528583;59.53555452;36.34528626;59.53452914
2082;376.3206263;'36.3452837792274,59.5397456175909';'36.3452858342322,59.5355545207303';36.34528378;59.53974562;36.34528583;59.53555452
2084;424.7063906;'36.3452879599575,59.5444755649942';'36.3452837792274,59.5397456175909';36.34530691;59.54448293;36.34528594;59.5396437
2085;447.3959575;'36.3455796730324,59.5494380691931';'36.3452879599575,59.5444755649942';36.34557967;59.54943807;36.34528796;59.54447556
2086;174.9328366;'36.3458889129577,59.5513483244796';'36.3455796730324,59.5494380691931';36.34588891;59.55134832;36.34557967;59.54943807
2087;256.2818554;'36.3463594921321,59.5541426499911';'36.3458889129577,59.5513483244796';36.34635949;59.55414265;36.34588891;59.55134832
2088;473.3581973;'36.3472718683261,59.5592923613772';'36.3463594921321,59.5541426499911';36.34727187;59.55929236;36.34635949;59.55414265
2089;208.7310809;'36.3476388154092,59.5615723613061';'36.3472718683261,59.5592923613772';36.34763882;59.56157236;36.34727187;59.55929236
2090;211.2450189;'36.3479371607695,59.5638959647048';'36.3476388154092,59.5615723613061';36.34793716;59.56389596;36.34763882;59.56157236
2091;689.0789086;'36.363174544726,59.4881124582437';'36.3668772309697,59.4942742767427';36.36317454;59.48811246;36.36687723;59.49427428
2092;263.3273899;'36.3698304797308,59.4985918635008';'36.3713841904034,59.5008089287407';36.36983048;59.49859186;36.37138419;59.50080893
2093;507.7317174;'36.3668772309697,59.4942742767427';'36.3698304797306,59.4985918635119';36.36687723;59.49427428;36.36983048;59.49859186
2094;326.0554941;'36.3713841904934,59.5008089287436';'36.3733467147193,59.5035109855545';36.37138419;59.50080893;36.37334671;59.50351099
2095;50.48380667;'36.3597542393766,59.4804762784215';'36.3601000367871,59.4808238904912';36.35971612;59.48055943;36.36002457;59.48096678
2096;62.31095704;'36.3593585607867,59.480012976721';'36.3597542393766,59.4804762784215';36.35935856;59.48001298;36.35975424;59.48047628
2097;193.1596441;'36.3226828016459,59.6331761900703';'36.3237756790535,59.631506354084';36.3226828;59.63317619;36.32377568;59.63150635
